target,Date,latitude,longitude,month,day,day_of_year,year,Distance_to_equator,Is_dry_season,Temp_max_avg,Temp_max_max,Humidity_avg,Humidity_min,Precip_total,Days_no_rain,Wind_avg,Wind_max
1,2016-12-21,-7.2378,-76.4938,12,21,356,2016,803.3958,0,31.470666666666666,35.91,71.98833333333333,57.98,83.20999999999998,3.0,0.01633333333333333,0.07
0,2016-12-21,-5.309022549050947,-77.11989827113337,12,21,356,2016,589.3015029446551,0,29.160000000000004,34.15,79.65766666666667,61.21,137.03,3.0,0.06633333333333334,0.15
1,2016-12-21,-6.7807,-76.191,12,21,356,2016,752.6577000000001,0,31.470666666666666,35.91,71.98833333333333,57.98,83.20999999999998,3.0,0.01633333333333333,0.07
0,2016-12-21,-7.119124402863609,-77.37715689078294,12,21,356,2016,790.2228087178606,0,21.571666666666665,26.46,75.43633333333332,47.16,40.14,5.0,1.0986666666666667,1.93
1,2016-12-21,-6.8946,-76.6202,12,21,356,2016,765.3005999999999,0,31.033,35.22,67.20066666666666,48.29,50.28000000000002,4.0,0.035333333333333335,0.11
1,2016-12-21,-6.9511,-76.5442,12,21,356,2016,771.5721,0,31.470666666666666,35.91,71.98833333333333,57.98,83.20999999999998,3.0,0.01633333333333333,0.07
0,2016-12-21,-6.006937780860308,-77.45432250461575,12,21,356,2016,666.7700936754942,0,22.895666666666667,28.42,78.38466666666666,40.14,59.160000000000004,3.0,1.5653333333333335,2.26
0,2016-12-22,-7.153254312142147,-75.61931012295983,12,22,357,2016,794.0112286477784,0,30.845000000000002,36.4,77.972,61.48,122.96999999999997,5.0,0.01966666666666667,0.09
0,2016-12-22,-7.011514074885707,-76.73934268520709,12,22,357,2016,778.2780623123135,0,30.962666666666667,35.22,67.483,48.29,50.26000000000002,5.0,0.03233333333333334,0.08
0,2016-12-22,-5.908177822401652,-76.8838396640829,12,22,357,2016,655.8077382865833,0,27.584,31.92,78.49833333333335,65.82,105.84000000000002,4.0,0.02,0.13
0,2016-12-22,-6.545436147892791,-76.30829128869237,12,22,357,2016,726.5434124160998,0,30.409,35.35,76.571,61.65,112.62000000000003,4.0,0.026333333333333334,0.09
0,2016-12-22,-5.636338028013915,-75.57133657890496,12,22,357,2016,625.6335211095445,0,30.036,35.25,85.38333333333334,71.26,209.78000000000003,4.0,0.09466666666666666,0.16
0,2016-12-22,-6.9260270516583,-76.1608919912471,12,22,357,2016,768.7890027340713,0,31.333000000000002,35.91,72.369,57.98,82.77,4.0,0.01633333333333333,0.07
0,2016-12-23,-7.217469611041255,-75.6059674027119,12,23,358,2016,801.1391268255793,0,30.525333333333332,35.72,78.72,63.84,125.76999999999998,5.0,0.01966666666666667,0.09
0,2016-12-23,-5.83397648887431,-77.22981106334638,12,23,358,2016,647.5713902650484,0,22.618666666666666,25.44,79.75466666666667,66.7,64.85000000000001,4.0,1.5753333333333333,2.26
0,2016-12-23,-6.23470396402255,-76.94332145347941,12,23,358,2016,692.0521400065031,0,27.378,29.98,78.99266666666666,68.62,109.17000000000002,4.0,0.02,0.13
0,2016-12-23,-7.575264155010306,-76.7671801072031,12,23,358,2016,840.8543212061439,0,28.121,32.19,72.529,59.93,72.81000000000002,3.0,0.27366666666666667,0.34
0,2016-12-23,-6.525390337428589,-76.47559277816393,12,23,358,2016,724.3183274545734,0,30.118999999999996,33.89,77.23366666666666,65.2,113.92000000000004,4.0,0.02666666666666667,0.09
0,2016-12-24,-7.147843120370421,-77.31448550971452,12,24,359,2016,793.4105863611168,0,21.25766666666667,26.0,77.12933333333334,62.24,45.239999999999995,4.0,1.0719999999999998,1.93
0,2016-12-24,-5.561988258344413,-76.88991934204635,12,24,359,2016,617.3806966762298,0,28.629666666666665,32.01,81.01033333333334,69.87,141.48999999999998,5.0,0.064,0.15
0,2016-12-24,-6.215385324683509,-77.39247138767627,12,24,359,2016,689.9077710398695,0,22.627,25.44,79.66166666666666,66.7,65.29,5.0,1.568,2.26
0,2016-12-24,-6.072304927752775,-76.77556503555117,12,24,359,2016,674.0258469805581,0,27.290333333333333,29.98,79.06466666666667,68.62,109.41000000000001,5.0,0.02,0.13
0,2016-12-24,-6.722985174451003,-76.39617504365586,12,24,359,2016,746.2513543640614,0,30.017333333333333,33.89,77.52166666666668,65.2,114.04000000000005,5.0,0.028,0.09
0,2016-12-24,-7.082610644878744,-76.41583738866235,12,24,359,2016,786.1697815815406,0,30.97233333333333,35.47,73.35366666666667,61.64,85.74999999999999,5.0,0.017,0.07
1,2016-12-25,-6.0354,-76.8673,12,25,360,2016,669.9294,0,27.236666666666668,29.98,79.10533333333335,68.62,109.54000000000002,5.0,0.02,0.13
1,2016-12-25,-5.9995,-76.3166,12,25,360,2016,665.9445000000001,0,29.421333333333333,33.02,82.17033333333332,69.32,162.17000000000002,5.0,0.04466666666666667,0.11
